Name    Student Card    Academic Card
Sophia Lawson    1668    6668
Sidney Hamilton    yok    6669
Drew Gomez    yok    6670
Kenneth Gordon    1671    6671
Christine Howell    yok    6672
Mattie Yates    yok    6673
Rachel Evans    yok    6674
Erick Townsend    yok    6675
Winifred Carter    yok    6676
Monique Silva    yok    6677
Allison Waters    1678    6678
Wilfred Ortiz    yok    6679
Alton Cobb    yok    6680
Virgil Gutierrez    yok    6681
Jason Jensen    yok    6682
Angel Delgado    yok    6683
Bennie Manning    yok    6684
Kelly Burke    yok    6685
Julian Webb    yok    6686
Thelma Gibson    yok    6687
Eddie Leonard    yok    6688
Wade Luna    1689    6689
Cristina Parsons    1690    6690
Cameron Henry    yok    6691
Ada George    yok    6692
Sabrina Washington    yok    6693
Sharon Bass    yok    6694
Sarah Rice    yok    6695
Ana Cannon    yok    6696
Mamie Massey    1697    6697
Myrtle Spencer    yok    6698
Susie Chambers    yok    6699
Grace Ray    1700    6700
Hubert Long    yok    6701
Barry Pope    yok    6702
Todd Jackson    yok    6703
Sue Buchanan    1704    6704
Tracy Hill    1705    6705
Sophie Mitchell    yok    6706
Delores Jennings    yok    6707
Percy Santiago    yok    6708
Lucas Allison    yok    6709
Nick Griffith    yok    6710
Homer Grant    yok    6711
Jennie Cole    yok    6712
Terrell Houston    yok    6713
Luis Erickson    1714    6714
Anthony Chavez    1715    6715
Alexandra Fowler    yok    6716
Melvin Moss    1717    6717
Ruth Wilson    yok    6718
Eduardo Baker    1719    6719
Matt Matthews    yok    6720
Owen Ruiz    yok    6721
Floyd Sims    1722    6722
Cheryl Ortega    yok    6723
Alonzo Blair    yok    6724
Larry Mann    yok    6725
Ted Horton    1726    6726
Miriam Rodriguez    yok    6727
Gwen Sharp    yok    6728
Dixie Nguyen    yok    6729
Shari Cunningham    yok    6730
Vicky Butler    yok    6731
Erika Harrington    yok    6732
Steve Cooper    1733    6733
Jeannie Terry    1734    6734
Troy Salazar    1735    6735
Darryl Ward    1736    6736
Randolph Wolfe    yok    6737
Neil Reid    yok    6738
Ernestine Craig    yok    6739
Charlene Wilson    1740    6740
Ralph Dixon    yok    6741
Brandi Walker    1742    6742
Ernesto Hogan    yok    6743
Jesus Patton    yok    6744
Jodi Burns    yok    6745
Kelvin Gibbs    yok    6746
Clinton Phillips    yok    6747
Penny Hansen    1748    6748
Gilbert Coleman    yok    6749
Joel Byrd    yok    6750
Joey Roy    1751    6751
Stephanie Simmons    yok    6752
Nina Bush    yok    6753
Seth Tucker    yok    6754
Josephine Dunn    yok    6755
Mitchell Becker    yok    6756
Wesley Flowers    yok    6757
Carroll Matthews    yok    6758
Pedro Cummings    yok    6759
Bernice Mcgee    yok    6760
Gregory Elliott    yok    6761
Ruby Joseph    yok    6762
Cynthia Casey    yok    6763
Norma White    yok    6764
Blanca Anderson    1765    6765
Noel Hudson    1766    6766
Sadie Mcguire    yok    6767
Kerry Holloway    yok    6768
Tom Holmes    yok    6769
Heather Sullivan    yok    6770
Arturo Schwartz    yok    6771
Lula Massey    1772    6772
Marianne Schneider    1773    6773
Wayne Long    yok    6774
Debbie Moody    yok    6775
Amanda Ford    yok    6776
Marta Griffith    yok    6777
Jaime Beck    yok    6778
Taylor Cruz    yok    6779
Vanessa Gonzales    1780    6780
Duane Gardner    yok    6781
Lori Graves    yok    6782
Guadalupe Tate    yok    6783
Gene Hamilton    1784    6784
Elena Maldonado    yok    6785
Velma Park    1786    6786
Philip Carpenter    yok    6787
Rochelle Guzman    yok    6788
Marvin Sherman    1789    6789
Hector Bell    yok    6790
Albert Mathis    1791    6791
Marcella Tran    yok    6792
Genevieve Kelly    yok    6793
Ignacio Day    yok    6794
Wanda Gross    yok    6795
Doug Mccoy    1796    6796
Sheryl Murphy    yok    6797
Marian Newman    1798    6798
Erica Frazier    yok    6799
Randall Curtis    yok    6800
Martin Lewis    yok    6801
Shirley Obrien    yok    6802
Eric West    yok    6803
Ebony Wade    yok    6804
Maureen Malone    1805    6805
Jeannette Watts    1806    6806
Priscilla Morton    yok    6807
Miguel Hall    yok    6808
Anthony Underwood    yok    6809
Hope Wagner    yok    6810
Tony Morris    1811    6811
Cristina Nelson    yok    6812
Carlos Grant    yok    6813
Mack Stevens    yok    6814
Andrew Johnson    yok    6815
Trevor Stephens    yok    6816
Celia Morgan    yok    6817
Douglas Barrett    yok    6818
Christopher Alvarez    yok    6819
Lyle Taylor    yok    6820
Gilbert Black    yok    6821
Norman Miller    yok    6822
Floyd Norton    yok    6823
Jerry Williamson    yok    6824
Nicole Hammond    yok    6825
Stacey Brown    yok    6826
Tonya Wood    yok    6827
Debra Anderson    yok    6828
Sheila Hogan    yok    6829
Marion Bowman    yok    6830
Tricia Frank    1831    6831
Guadalupe Conner    yok    6832
Bessie Hines    1833    6833
Ronnie Stevenson    yok    6834
Olivia Abbott    1835    6835
Anna Barnes    yok    6836
Ginger Wallace    yok    6837
Roger Terry    yok    6838
Darrin Salazar    yok    6839
Kristin Mcbride    yok    6840
Horace Hill    yok    6841
Ross Yates    yok    6842
Allison Roberson    yok    6843
Joel Brooks    yok    6844
Mona Kelley    yok    6845
Ada Maxwell    yok    6846
Arturo Aguilar    yok    6847
Josefina Becker    yok    6848
Stephanie Brady    yok    6849
Ricardo Sanchez    yok    6850
Cathy Stanley    yok    6851
Jonathon Maldonado    yok    6852
Teresa Casey    yok    6853
Shannon Moore    yok    6854
Travis Drake    1855    6855
Wendell Olson    yok    6856
Jaime Perry    yok    6857
Rhonda Pearson    yok    6858
Jana Ramos    yok    6859
Edward Cannon    1860    6860
Elijah Wright    yok    6861
Jeannie Goodman    yok    6862
Peter Gibson    yok    6863
Joy Warren    yok    6864
Janice Dunn    yok    6865
Ollie Horton    yok    6866
Lindsay Rivera    yok    6867
Catherine Montgomery    yok    6868
Amber Blake    yok    6869
Mack Parks    1870    6870
Myron Mckenzie    yok    6871
Eula Huff    yok    6872
Ora Doyle    1873    6873
Gina Berry    yok    6874
Jeff Green    yok    6875
Kristen Sutton    yok    6876
Juan Jordan    yok    6877
Sonja Strickland    yok    6878
Claude Erickson    1879    6879
Ramiro Schultz    yok    6880
Kay Kelly    yok    6881
Percy Austin    yok    6882
Faye Rhodes    yok    6883
Dana Stevens    yok    6884
Winifred Pratt    yok    6885
Joshua Robertson    yok    6886
Andrea Wells    1887    6887
Alejandro Hawkins    yok    6888
Hubert Saunders    yok    6889
Russell Swanson    yok    6890
Brendan Ross    yok    6891
Carole Cummings    yok    6892
Lauren Nguyen    yok    6893
Maryann Hubbard    yok    6894
Edith Carson    yok    6895
Cornelius Young    1896    6896
Sadie Greene    yok    6897
Laverne Weber    1898    6898
Peggy Wolfe    yok    6899
Yolanda Lindsey    yok    6900
Jimmy Burgess    yok    6901
Holly King    yok    6902
Janis Page    yok    6903
Erick Cooper    yok    6904
Heather Franklin    1905    6905
Cameron Lamb    1906    6906
Bryant Adkins    yok    6907
Janie Alexander    yok    6908
Kari Stone    yok    6909
Rex Walton    yok    6910
Cora Manning    yok    6911
Earnest Carroll    yok    6912
Ryan Walker    1913    6913
Ann Peterson    yok    6914
Ron Willis    yok    6915
Madeline Silva    yok    6916
Guy Bass    yok    6917
Vernon Cobb    yok    6918
Clinton Greer    yok    6919
Richard Klein    yok    6920
Maurice Estrada    yok    6921
Calvin Moore    yok    6922
Genevieve Ingram    1923    6923
Patricia Phillips    yok    6924
Michelle Bridges    yok    6925
Beth Rodgers    1926    6926
Kelly Delgado    yok    6927
Marion Dennis    yok    6928
Vicki Cruz    yok    6929
William Douglas    1930    6930
Beverly Bush    yok    6931
Mable Phelps    yok    6932
Eva Taylor    1933    6933
Edna Cannon    yok    6934
Moses Cohen    1935    6935
Sylvia Reed    1936    6936
Elizabeth Doyle    yok    6937
Annie Munoz    yok    6938
Kathryn Quinn    yok    6939
Sonia Terry    yok    6940
Terence Morrison    yok    6941
Colleen Schmidt    1942    6942
Patti Ramsey    1943    6943
Ed Carroll    yok    6944
Roosevelt Buchanan    1945    6945
Courtney Obrien    1946    6946
Perry Andrews    yok    6947
Jeanette Carson    yok    6948
Lynette Knight    yok    6949
Emma Wise    yok    6950
Donnie Brooks    yok    6951
Leona Kennedy    yok    6952
Nicholas Ward    yok    6953
Ross Daniel    yok    6954
Kerry Chambers    yok    6955
Armando Walker    1956    6956
Alan Perkins    yok    6957
Tim Mason    1958    6958
Earnest Tucker    yok    6959
Margaret Ruiz    yok    6960
Eleanor Anderson    yok    6961
Jacqueline Boone    yok    6962
Barbara Keller    yok    6963
Arturo Hunt    yok    6964
Darla Patrick    yok    6965
Rene Bishop    yok    6966
Winifred Franklin    yok    6967
Julio Pierce    yok    6968
Marian Coleman    yok    6969
Katherine Mcguire    yok    6970
Corey Beck    yok    6971
Bradford Mckinney    yok    6972
Danny Brady    yok    6973
Kyle May    yok    6974
Samantha Jones    yok    6975
Dorothy Miller    1976    6976
Dale Turner    yok    6977
Miguel Christensen    1978    6978
Delia Gonzales    yok    6979
Blake Brown    yok    6980
Rickey Tyler    yok    6981
Dixie Foster    yok    6982
Violet Fernandez    yok    6983
Florence Owen    yok    6984
Rosalie Chavez    yok    6985
Dean Marsh    yok    6986
Kent Bowman    yok    6987
Holly Walters    yok    6988
Marco Boyd    yok    6989
Bridget Holloway    yok    6990
Jessie Mendoza    1991    6991
Alexandra Murray    yok    6992
Luz Hayes    yok    6993
Kate Becker    yok    6994
Jaime Schneider    yok    6995
Susie Barrett    1996    6996
Cameron Weber    yok    6997
Lamar Willis    yok    6998
Meredith Mcdaniel    yok    6999
Jeffrey Edwards    2000    7000
Max Rose    yok    7001
Sherri Soto    yok    7002
Benny Salazar    2003    7003
Carroll Simmons    yok    7004
Gertrude Massey    yok    7005
Melody Curtis    yok    7006
Hugh Freeman    2007    7007
Jordan Harper    yok    7008
Bertha Grant    yok    7009
Sheri Roberts    yok    7010
Edith French    yok    7011
Candice Leonard    yok    7012
Edward Peters    yok    7013
Nicolas Cortez    yok    7014
Laverne Robbins    yok    7015
Ollie Robertson    yok    7016
Mandy Briggs    2017    7017
Kristine Bell    yok    7018
Lonnie Bryant    yok    7019
Alex Howard    2020    7020
